"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.890654269E0,-1.482266188E-2,-4.160833359E-2,-3.437366486E-1
2.898588839E0,-8.524787426E-2,-6.825923920E-3,-2.669100761E-1
2.906584445E0,-5.000287294E-2,1.988792419E-2,-1.049847603E-1
2.914457980E0,-4.563778639E-2,5.140781403E-3,1.730718613E-1
2.922392550E0,-1.447010040E-2,7.536888123E-2,5.053720474E-1
2.930327121E0,1.031545401E-1,8.804941177E-2,7.515835762E-1
2.938231173E0,2.057367563E-1,9.397029877E-2,8.100781441E-1
2.946226779E0,2.483166754E-1,1.144123077E-1,6.331944466E-1
2.954130832E0,2.072384953E-1,1.468095779E-1,4.149994850E-1
2.962004367E0,2.216871381E-1,1.243910789E-1,2.486872673E-1
2.969908419E0,2.187758684E-1,1.463003159E-1,6.403493881E-2
2.977781955E0,2.054731250E-1,1.293983459E-1,-9.875392914E-2
2.985747043E0,2.290343344E-1,1.391716003E-1,-1.469650269E-1
2.993681613E0,1.992521882E-1,1.423659325E-1,-1.286234856E-1
